,Eye Detection,Time
591,LEFT,2025-02-24 22:49:03.849342
592,LEFT,2025-02-24 22:49:03.849342
593,LEFT,2025-02-24 22:49:03.849342
594,LEFT,2025-02-24 22:49:03.849342
595,CENTER,2025-02-24 22:49:03.849342
596,Blinking,2025-02-24 22:49:03.849342
597,LEFT,2025-02-24 22:49:03.849342
598,LEFT,2025-02-24 22:49:03.849342
599,LEFT,2025-02-24 22:49:03.849342
600,LEFT,2025-02-24 22:49:03.849342
601,LEFT,2025-02-24 22:49:03.849342
602,LEFT,2025-02-24 22:49:03.849342
603,LEFT,2025-02-24 22:49:03.849342
604,LEFT,2025-02-24 22:49:03.849342
605,CENTER,2025-02-24 22:49:03.849342
