timestamp,room_temperature,room_pressure,room_humidity,room_light_intensity,skin_temperature,light_temperature,heart_rate,eye_tracking,room_noise,mouse_movement,body_posture,body_movement,voice,face_emotion,task_timestamp
2025-08-13 13:58:10,23.515,995.4625000000001,57.9725,119.07,27.69,3368.94,106.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:15,23.5075,995.4625000000001,58.1725,119.07,27.67,3367.96,104.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:20,23.5025,995.45,58.06,119.07,27.715,3363.7749999999996,104.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:25,23.5025,995.45,58.0025,119.07,27.72,3357.9874999999997,105.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:30,23.512500000000003,995.4375,58.0325,119.07,27.73,3366.3575,105.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:35,23.52,995.4350000000001,57.9325,119.07,27.73,3368.94,105.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:40,23.5275,995.3975,58.03,119.07,27.735,3368.94,105.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:45,23.5225,995.4125,57.8375,119.07,27.695,3368.94,100.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:50,23.5225,995.4300000000001,57.805,119.07,27.72,3368.94,100.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:58:55,23.5275,995.425,58.0275,119.07,27.755,3368.94,101.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:59:00,23.5225,995.4425,57.9225,119.07,27.745,3368.94,103.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:59:05,23.52,995.4625000000001,58.465,119.07,27.759999999999998,3368.94,102.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:59:10,23.525,995.4725000000001,57.95,119.07,27.810000000000002,3368.94,103.5,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:15,23.52,995.4725000000001,57.9925,119.07,27.725,3368.94,104.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:20,23.5225,995.4475,58.105000000000004,119.07,27.725,3368.94,100.25,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:25,23.5075,995.4575,58.02,119.07,27.775,3368.94,99.25,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:30,23.5025,995.455,57.995000000000005,119.07,27.740000000000002,3368.94,107.5,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:35,23.5025,995.44,58.2225,119.07,27.740000000000002,3368.94,105.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:59:40,23.4925,995.4275,58.4675,119.07,27.755,3368.94,105.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:45,23.4925,995.4625000000001,58.2225,119.07,27.77,3368.94,106.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:50,23.49,995.4675,58.1175,119.07,27.75,3368.94,103.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 13:59:55,23.48,995.44,58.1225,119.07,27.755,3368.94,103.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:00:00,23.487499999999997,995.45,57.8825,119.07,27.72,3368.94,102.25,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:00:05,23.49,995.4625000000001,57.96,119.07,27.71,3368.94,102.5,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:00:10,23.4925,995.4575,58.3375,119.07,27.775,3368.94,101.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:00:15,23.49,995.4375,57.9275,119.07,27.78,3368.94,100.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:00:20,23.494999999999997,995.4575,57.685,119.07,27.75,3368.94,97.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:00:25,23.505000000000003,995.4275,58.2025,119.07,27.71,3368.94,104.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:00:30,23.512500000000003,995.45,58.3925,119.07,27.740000000000002,3368.94,110.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:00:35,23.5225,995.4300000000001,58.0925,119.07,27.785,3368.94,113.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:00:40,23.515,995.425,58.0575,119.07,27.775,3368.94,113.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:00:45,23.51,995.4375,58.06,119.07,27.695,3368.94,108.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:00:50,23.494999999999997,995.4275,58.145,119.07,27.75,3368.94,109.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:00:55,23.487499999999997,995.45,58.067499999999995,119.07,27.72,3368.94,106.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:01:00,23.47,995.4425,58.31,119.07,27.745,3368.94,104.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:01:05,23.46,995.465,58.182500000000005,119.07,27.740000000000002,3368.94,104.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:01:10,23.4625,995.4575,58.325,119.07,27.735,3368.94,106.75,distracted,unknown,active,poor,still,silent,fear,Began Step 5
2025-08-13 14:01:15,23.46,995.455,58.25,119.07,27.755,3368.94,106.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:01:20,23.4625,995.4725000000001,58.26,119.07,27.705000000000002,3368.94,106.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:01:25,23.465,995.4675,58.18,119.07,27.79,3368.94,107.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:01:30,23.4625,995.4725000000001,58.019999999999996,119.07,27.77,3368.94,108.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:01:35,23.47,995.4875,58.535000000000004,119.07,27.805,3368.94,102.5,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:01:40,23.4725,995.49,57.81,119.07,27.759999999999998,3368.94,99.25,unknown,unknown,active,poor,still,silent,angry,unknown
2025-08-13 14:01:45,23.4725,995.485,58.265,119.07,27.79,3368.94,101.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:01:50,23.4775,995.475,58.27,119.07,27.785,3368.94,103.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:01:55,23.4675,995.48,58.557500000000005,119.07,27.79,3368.94,103.0,unknown,unknown,active,poor,still,silent,angry,unknown
2025-08-13 14:02:00,23.4675,995.49,58.207499999999996,119.07,27.814999999999998,3368.94,102.25,unknown,unknown,active,poor,still,silent,sad,unknown
