,Emotion Detection,Time
458,neutral,2025-06-30 12:47:53.456333
459,neutral,2025-06-30 12:47:53.565974
460,neutral,2025-06-30 12:47:53.695934
461,neutral,2025-06-30 12:47:53.849460
462,neutral,2025-06-30 12:47:53.971123
463,neutral,2025-06-30 12:47:54.086754
464,neutral,2025-06-30 12:47:54.202489
465,neutral,2025-06-30 12:47:54.341034
466,neutral,2025-06-30 12:47:54.454096
467,neutral,2025-06-30 12:47:54.572362
468,neutral,2025-06-30 12:47:54.679311
469,neutral,2025-06-30 12:47:54.799688
470,neutral,2025-06-30 12:47:54.910295
471,neutral,2025-06-30 12:47:55.006283
472,neutral,2025-06-30 12:47:55.105511
473,neutral,2025-06-30 12:47:55.224960
474,neutral,2025-06-30 12:47:55.352022
475,sad,2025-06-30 12:47:55.471602
476,fear,2025-06-30 12:47:55.590750
477,fear,2025-06-30 12:47:55.683616
478,angry,2025-06-30 12:47:55.771590
479,angry,2025-06-30 12:47:55.863981
480,neutral,2025-06-30 12:47:55.953665
481,sad,2025-06-30 12:47:56.217402
482,neutral,2025-06-30 12:47:56.312556
483,happy,2025-06-30 12:47:56.312556
484,sad,2025-06-30 12:47:56.472409
485,surprise,2025-06-30 12:47:56.607079
486,fear,2025-06-30 12:47:56.723307
487,fear,2025-06-30 12:47:56.844135
488,fear,2025-06-30 12:47:56.984616
489,fear,2025-06-30 12:47:57.078280
490,sad,2025-06-30 12:47:57.078280
491,fear,2025-06-30 12:47:57.268863
492,neutral,2025-06-30 12:47:57.429450
493,fear,2025-06-30 12:47:57.429450
494,happy,2025-06-30 12:47:57.585697
495,neutral,2025-06-30 12:47:57.727842
496,happy,2025-06-30 12:47:57.853461
497,neutral,2025-06-30 12:47:57.952949
498,angry,2025-06-30 12:47:58.076899
499,angry,2025-06-30 12:47:58.190584
500,neutral,2025-06-30 12:47:58.309840
501,neutral,2025-06-30 12:47:58.427038
502,neutral,2025-06-30 12:47:58.536186
503,neutral,2025-06-30 12:47:58.655560
504,neutral,2025-06-30 12:47:58.795884
505,angry,2025-06-30 12:47:58.903741
506,neutral,2025-06-30 12:47:59.044816
507,angry,2025-06-30 12:47:59.143391
508,neutral,2025-06-30 12:47:59.277619
509,neutral,2025-06-30 12:47:59.430516
510,happy,2025-06-30 12:47:59.540490
511,happy,2025-06-30 12:47:59.673100
512,happy,2025-06-30 12:47:59.792727
513,neutral,2025-06-30 12:47:59.911939
514,happy,2025-06-30 12:48:00.008387
515,angry,2025-06-30 12:48:00.117053
516,happy,2025-06-30 12:48:00.208939
517,angry,2025-06-30 12:48:00.324961
518,angry,2025-06-30 12:48:00.433084
519,fear,2025-06-30 12:48:00.544279
520,fear,2025-06-30 12:48:00.653505
521,surprise,2025-06-30 12:48:00.788346
522,neutral,2025-06-30 12:48:00.788346
523,sad,2025-06-30 12:48:00.962469
524,sad,2025-06-30 12:48:01.071165
525,sad,2025-06-30 12:48:01.188206
526,happy,2025-06-30 12:48:01.321302
527,angry,2025-06-30 12:48:01.471802
528,angry,2025-06-30 12:48:01.585130
529,happy,2025-06-30 12:48:01.704625
530,happy,2025-06-30 12:48:01.822403
531,happy,2025-06-30 12:48:01.932033
532,angry,2025-06-30 12:48:02.025741
533,angry,2025-06-30 12:48:02.140113
534,fear,2025-06-30 12:48:02.262924
535,angry,2025-06-30 12:48:02.363612
536,fear,2025-06-30 12:48:02.490029
537,fear,2025-06-30 12:48:02.609164
538,happy,2025-06-30 12:48:02.742020
539,neutral,2025-06-30 12:48:02.842661
540,sad,2025-06-30 12:48:02.951469
541,happy,2025-06-30 12:48:03.097203
542,surprise,2025-06-30 12:48:03.257355
543,happy,2025-06-30 12:48:03.257355
544,happy,2025-06-30 12:48:03.482783
545,neutral,2025-06-30 12:48:03.595866
546,neutral,2025-06-30 12:48:03.727702
547,angry,2025-06-30 12:48:03.837015
548,angry,2025-06-30 12:48:04.238145
549,fear,2025-06-30 12:48:04.326745
550,fear,2025-06-30 12:48:04.479104
551,angry,2025-06-30 12:48:06.118621
552,fear,2025-06-30 12:48:06.243685
553,sad,2025-06-30 12:48:06.362150
554,sad,2025-06-30 12:48:06.472379
555,angry,2025-06-30 12:48:06.579403
556,angry,2025-06-30 12:48:06.718145
557,sad,2025-06-30 12:48:06.825892
558,sad,2025-06-30 12:48:06.980622
559,sad,2025-06-30 12:48:07.111041
560,neutral,2025-06-30 12:48:09.137981
561,neutral,2025-06-30 12:48:09.264882
562,neutral,2025-06-30 12:48:09.388913
563,neutral,2025-06-30 12:48:09.513470
564,neutral,2025-06-30 12:48:09.638244
565,neutral,2025-06-30 12:48:09.787662
566,neutral,2025-06-30 12:48:09.895918
567,neutral,2025-06-30 12:48:10.012488
568,angry,2025-06-30 12:48:10.138070
569,neutral,2025-06-30 12:48:10.288051
570,sad,2025-06-30 12:48:10.423300
571,neutral,2025-06-30 12:48:10.423300
572,neutral,2025-06-30 12:48:10.645294
573,sad,2025-06-30 12:48:10.645294
574,fear,2025-06-30 12:48:10.848896
575,neutral,2025-06-30 12:48:10.973668
